,Unnamed: 0,Area,equivalent_diameter,MajorAxisLength,MinorAxisLength,Perimeter,Circularity
131,132,375.0768000000001,21.85320603647716,36.16962232261558,13.43782478937574,81.85209737228487,0.7035102699445359
133,134,251.1675,17.88285193564687,31.58126867643054,14.43718368059046,87.22320015414114,0.41486736573588723
137,138,2508.3261,56.51283023890527,95.97981357911868,46.76521515401669,346.4998709409925,0.2625353004368124
138,139,736.758,30.627918971095458,47.4832283351285,22.36067572563737,136.9583353934257,0.49358026463926064
139,140,234.42300000000003,17.27647631305212,25.86576995940328,16.18184971387181,74.6621514679987,0.5284563035776577
142,143,224.3763,16.902212223888334,26.159304540879905,12.03888804344752,62.16612982971317,0.729590522868309
143,144,147.35160000000002,13.697221765744972,17.25658972111187,12.778063768684008,47.39607573399935,0.8242898467915015
145,146,1008.0189,35.82526378577609,64.60621547323011,21.14364976939639,153.11435703171122,0.5403146077418909
149,150,890.8074000000001,33.678052325256495,83.01817272988549,16.53776327119712,189.89828129771183,0.31042137044279633
150,151,539.1729,26.20107359879624,32.4268488721837,21.938788034897204,90.75314605842732,0.8226489372197912
151,152,1865.3373,48.73418938106509,62.04719664647339,39.55892855246751,187.25640030828228,0.6684884339228655
